"text","post_text","shared_text","time","video_id","likes","comments","shares"
"The director of the CDC warned governors on Friday against easing pandemic control measures, saying that a recent drop in U.S. coronavirus cases and deaths “may be stalling.”

“Now is not the time to relax restrictions,” she said. https://nyti.ms/3uAkv9T","The director of the CDC warned governors on Friday against easing pandemic control measures, saying that a recent drop in U.S. coronavirus cases and deaths “may be stalling.”

“Now is not the time to relax restrictions,” she said. https://nyti.ms/3uAkv9T","","2021-02-26 18:40:45",257780122564581,319,47,0
"Richard Carranza, New York City’s schools chancellor, said on Friday he would resign in March.

He will be replaced by Meisha Porter, a longtime city educator and current Bronx superintendent who will become the first Black woman to lead the school system. nyti.ms/3q5TdoJ","Richard Carranza, New York City’s schools chancellor, said on Friday he would resign in March.

He will be replaced by Meisha Porter, a longtime city educator and current Bronx superintendent who will become the first Black woman to lead the school system. nyti.ms/3q5TdoJ","","2021-02-26 16:41:06",425044491940788,176,44,0
"“My entire life just shifted in an instant.”

Olivia Rodrigo tells us how she wrote the No. 1 hit song “Drivers License,” which has changed her life, without even leaving her house. “It was weird,” she said. https://nyti.ms/2NzGXQ9","“My entire life just shifted in an instant.”

Olivia Rodrigo tells us how she wrote the No. 1 hit song “Drivers License,” which has changed her life, without even leaving her house. “It was weird,” she said. https://nyti.ms/2NzGXQ9","","2021-02-26 13:00:36",446515400025628,130,21,0
"Senator Rand Paul began his questioning at Dr. Rachel Levine’s confirmation hearing by asking pointedly about “genital mutilation.” Levine replied that she’d be happy to discuss the “complex and nuanced field” of transgender medicine with him. https://nyti.ms/37O2tHu","Senator Rand Paul began his questioning at Dr. Rachel Levine’s confirmation hearing by asking pointedly about “genital mutilation.” Levine replied that she’d be happy to discuss the “complex and nuanced field” of transgender medicine with him. https://nyti.ms/37O2tHu","","2021-02-25 17:40:56",555530882073303,719,866,0
"An awkward exchange by top Republicans — Representatives Kevin McCarthy and Liz Cheney — illustrated the widening intraparty divide over former President Donald Trump. https://nyti.ms/3dJL72w","An awkward exchange by top Republicans — Representatives Kevin McCarthy and Liz Cheney — illustrated the widening intraparty divide over former President Donald Trump. https://nyti.ms/3dJL72w","","2021-02-24 16:10:37",304393807686601,516,295,0
"https://nyti.ms/2Mk5MyP

The New York Times Opinion Section
February 23 at 5:10 PM ·

“They try and make you believe that everything here is perfect.” A new Op-Doc explores one of the largest retirement communities in the world. https://nyti.ms/3aMwUjn","https://nyti.ms/2Mk5MyP","The New York Times Opinion Section
February 23 at 5:10 PM ·

“They try and make you believe that everything here is perfect.” A new Op-Doc explores one of the largest retirement communities in the world. https://nyti.ms/3aMwUjn","2021-02-24 00:25:09",446718569884244,102,35,30
"Tiger Woods, who sustained serious leg injuries after a crash on Tuesday morning in California, was conscious when emergency workers arrived, the authorities said. https://nyti.ms/3kjlI0L","Tiger Woods, who sustained serious leg injuries after a crash on Tuesday morning in California, was conscious when emergency workers arrived, the authorities said. https://nyti.ms/3kjlI0L","","2021-02-23 22:40:57",915045885988920,176,39,0
"Tiger Woods suffered “multiple leg injuries” in a serious car crash on Tuesday and went into surgery after he was pulled from his overturned car, his agent and authorities said. https://nyti.ms/3aNkdoh","Tiger Woods suffered “multiple leg injuries” in a serious car crash on Tuesday and went into surgery after he was pulled from his overturned car, his agent and authorities said. https://nyti.ms/3aNkdoh","","2021-02-23 17:25:34",186233289529964,82,33,0
"Senator Chuck Grassley said on Monday that he believed Judge Merrick Garland was a qualified candidate to lead the Justice Department, despite having previously blocked Garland's nomination to the Supreme Court. https://nyti.ms/3qFqoQV","Senator Chuck Grassley said on Monday that he believed Judge Merrick Garland was a qualified candidate to lead the Justice Department, despite having previously blocked Garland's nomination to the Supreme Court. https://nyti.ms/3qFqoQV","","2021-02-22 21:55:39",468111361035149,403,145,0
"Watch what it's like to land on Mars.

Read more. https://nyti.ms/2ZMcXTf","Watch what it's like to land on Mars.

Read more. https://nyti.ms/2ZMcXTf","","2021-02-22 18:12:06",424822212161240,364,36,0
"The U.S. formally rejoined the Paris climate agreement on Friday. “This is a global, existential crisis. And we’ll all suffer the consequences if we fail,” President Biden said.

Read more: https://nyti.ms/2MamXmk","The U.S. formally rejoined the Paris climate agreement on Friday. “This is a global, existential crisis. And we’ll all suffer the consequences if we fail,” President Biden said.

Read more: https://nyti.ms/2MamXmk","","2021-02-19 23:10:48",255571702676182,2169,159,0
"After touring a Pfizer facility, President Biden on Friday emphasized the safety of approved coronavirus vaccines and said there would be enough available for all Americans by the end of July. https://nyti.ms/3aBeXUH","After touring a Pfizer facility, President Biden on Friday emphasized the safety of approved coronavirus vaccines and said there would be enough available for all Americans by the end of July. https://nyti.ms/3aBeXUH","","2021-02-19 19:56:15",3564319280331971,1499,123,0
"Coronavirus cases in the U.S. have fallen more than 40% over the last two weeks and more than 70% since the January peak.

Here's what to know about the pandemic in the U.S. this week: https://nyti.ms/2NHJl6S","Coronavirus cases in the U.S. have fallen more than 40% over the last two weeks and more than 70% since the January peak.

Here's what to know about the pandemic in the U.S. this week: https://nyti.ms/2NHJl6S","","2021-02-19 19:10:22",148193413789675,410,52,0
"President Biden said on Friday that he planned to declare a major disaster in Texas which would allow for additional federal aid to be routed to residents struggling to access basic necessities after a deadly winter storm. https://nyti.ms/3qCSgFk","President Biden said on Friday that he planned to declare a major disaster in Texas which would allow for additional federal aid to be routed to residents struggling to access basic necessities after a deadly winter storm. https://nyti.ms/3qCSgFk","","2021-02-19 18:56:39",2781370262128441,1987,248,0
"Florida health officials said two women “dressed up as grannies” to try and receive their second dose of the coronavirus vaccine. “I don’t know how they escaped the first time,” said Dr. Raul Pino. https://nyti.ms/37vsyLi","Florida health officials said two women “dressed up as grannies” to try and receive their second dose of the coronavirus vaccine. “I don’t know how they escaped the first time,” said Dr. Raul Pino. https://nyti.ms/37vsyLi","","2021-02-19 15:10:42",250016903389922,119,62,0
"The White House on Friday said that six million doses of coronavirus vaccines had been held up because of snowstorms across the U.S., creating a backlog affecting every state and throwing off the pace of vaccination appointments over the next week. https://nyti.ms/3aCBznG","The White House on Friday said that six million doses of coronavirus vaccines had been held up because of snowstorms across the U.S., creating a backlog affecting every state and throwing off the pace of vaccination appointments over the next week. https://nyti.ms/3aCBznG","","2021-02-19 14:41:28",3714548298637494,139,21,0
"“Come over here, we’re going to slaughter the pig.”
On La Gomera, one of the Canary Islands of Spain, the locals have a unique whistling language known as “Silbo Gomero,” which is taught in the school curriculum. https://nyti.ms/2M4msu3","“Come over here, we’re going to slaughter the pig.”
On La Gomera, one of the Canary Islands of Spain, the locals have a unique whistling language known as “Silbo Gomero,” which is taught in the school curriculum. https://nyti.ms/2M4msu3","","2021-02-19 00:55:23",181482286716783,221,31,0
"“Touchdown confirmed!” Watch the NASA control room react as the Perseverance rover lands on the surface of Mars to begin its ambitious mission of finding out whether there was ever life on the red planet. https://nyti.ms/2NzhPbH","“Touchdown confirmed!” Watch the NASA control room react as the Perseverance rover lands on the surface of Mars to begin its ambitious mission of finding out whether there was ever life on the red planet. https://nyti.ms/2NzhPbH","","2021-02-18 19:17:47",501818917880830,6951,146,0
"Keith Gill, known on social media as Roaring Kitty, joked that he was “not a cat” and defended his GameStop investment during a congressional hearing on Thursday. https://nyti.ms/3s7hY50","Keith Gill, known on social media as Roaring Kitty, joked that he was “not a cat” and defended his GameStop investment during a congressional hearing on Thursday. https://nyti.ms/3s7hY50","","2021-02-18 17:40:58",434825994302044,603,83,0
"Is it possible to reverse extinction?

Meet Elizabeth Ann, a black-footed ferret who is the first successful clone of a native endangered species in North America. The cryogenic technology used to create her could change how we approach conservation. https://nyti.ms/3drdHFp","Is it possible to reverse extinction?

Meet Elizabeth Ann, a black-footed ferret who is the first successful clone of a native endangered species in North America. The cryogenic technology used to create her could change how we approach conservation. https://nyti.ms/3drdHFp","","2021-02-18 15:35:19",2906571619562851,258,48,0
"These sea turtles have been rescued from the life-threatening cold in Texas.

The animals, many suffering from “cold stun” that could lead them to drown in water, were brought to the relative safety of dry land to warm up.

https://nyti.ms/3qKsD5H","These sea turtles have been rescued from the life-threatening cold in Texas.

The animals, many suffering from “cold stun” that could lead them to drown in water, were brought to the relative safety of dry land to warm up.

https://nyti.ms/3qKsD5H","","2021-02-18 10:10:57",163814592049096,45096,3613,0
"Hundreds of thousands of people gathered on Wednesday in Yangon, Myanmar. It was the single largest rally since a mass uprising began in protest of a coup that returned the military to power on Feb. 1. https://nyti.ms/3avcYRQ","Hundreds of thousands of people gathered on Wednesday in Yangon, Myanmar. It was the single largest rally since a mass uprising began in protest of a coup that returned the military to power on Feb. 1. https://nyti.ms/3avcYRQ","","2021-02-17 17:25:36",1438243833234741,608,48,0
"Watch: The implosion of Trump Plaza Hotel and Casino, the last vestige of the former president’s once-dominant brand in Atlantic City, New Jersey, took place on Wednesday. 3,000 sticks of dynamite were used to bring down the building. https://nyti.ms/3u7UTkz","Watch: The implosion of Trump Plaza Hotel and Casino, the last vestige of the former president’s once-dominant brand in Atlantic City, New Jersey, took place on Wednesday. 3,000 sticks of dynamite were used to bring down the building. https://nyti.ms/3u7UTkz","","2021-02-17 13:40:50",2030489883767036,6913,1178,0
"A major winter storm hit a large swath of the U.S. on Monday, bringing heavy snow to Texas. Many residents are still without power.

https://nyti.ms/3amMfqD","A major winter storm hit a large swath of the U.S. on Monday, bringing heavy snow to Texas. Many residents are still without power.

https://nyti.ms/3amMfqD","","2021-02-16 14:40:57",440418313723530,242,111,0
"A major winter storm hit the U.S. from coast to coast on Monday, delivering heavy snowfall and icy conditions as temperatures plummeted.
https://nyti.ms/3u12gu7","A major winter storm hit the U.S. from coast to coast on Monday, delivering heavy snowfall and icy conditions as temperatures plummeted.
https://nyti.ms/3u12gu7","","2021-02-15 16:55:51",900729703995131,889,179,0
